source,avg_log_loss,Q1,Q2,Q3,S1,S2,S3,S4
cc_arousal__absolute_plus_deviation__c0.1_b0.1,0.6266264618920712,0.6686092799595624,0.7024633375950355,0.6768948903688253,0.5723195982922132,0.5809958166375718,0.5366497524780226,0.6484525579132668
cc_load__absolute_plus_deviation__c0.3_b0.1,0.6266321999890188,0.6704007900006833,0.7042384552423601,0.67695702726041,0.5754828202142875,0.5781581982018137,0.5382400608284237,0.6429480481751522
cc_opportunity__absolute__c0.03_b0.2,0.6266608773706387,0.664521713973992,0.6995105975645894,0.6767883040389853,0.5749302306027072,0.5801216159864249,0.5452167464125304,0.6455369330152416
cc_arousal__absolute__c0.1_b0.1,0.6266636423937249,0.6687794204899402,0.7012706722478333,0.676341309974951,0.5738309454713447,0.581418220152807,0.5370935726114964,0.6479113558077013
cc_load__absolute_plus_deviation__c0.1_b0.1,0.626665989814817,0.6709253750287969,0.7031122267111115,0.6765214409380053,0.576068530348054,0.5782414078118907,0.5383350841233996,0.643457863742461
cc_load__absolute_plus_deviation__c0.3_b0.2,0.6266733230795324,0.6688641247684411,0.7042371029033909,0.6767721615018524,0.5761412995780855,0.5780791466106614,0.5426221391853336,0.639997287008962
best__deviation__c0.03_b0.05,0.6266847773049857,0.672029836498654,0.7024474451325016,0.6761609634700438,0.5744352919565692,0.5798966556486077,0.5355615283089253,0.6462617201195988
cc_arousal__deviation__c0.1_b0.1,0.6266860147018395,0.6695134755314265,0.700561052729794,0.6760945377400095,0.5734745393486599,0.5816256570889694,0.5377926208485427,0.647740219625475
cc_recovery__absolute__c0.03_b0.1,0.6266970219658997,0.6727205035788284,0.698999138741532,0.6746559303464321,0.576530444737193,0.5793990444565379,0.5401872818959175,0.6443868100048578
cc_load__deviation__c0.3_b0.05,0.6267092583084725,0.6715083490940318,0.7038191967345735,0.6764342144967327,0.5753854226794677,0.5783672915725746,0.5363932664363028,0.6450570671456246
cc_load__absolute__c0.1_b0.1,0.6267340193196164,0.6712586993096038,0.702824213618131,0.6760778508478505,0.5764519788815059,0.5780295324965672,0.5390791826673383,0.6434166774163184
cc_recovery__absolute_plus_deviation__c0.03_b0.05,0.6267555855308081,0.6726984277080306,0.7019786150603528,0.6760398338206561,0.5755340293679708,0.5790454607302303,0.5363591616600887,0.6456335703683279
